Id,Price,Year,Mileage,City,State,Vin,Make,Model
1,16472,2015,18681,Jefferson City, MO,KL4CJBSBXFB267643,Buick,EncoreConvenience
2,15749,2015,27592,Highland, IN,KL4CJASB5FB245057,Buick,EncoreFWD
3,16998,2015,13650,Boone, NC,KL4CJCSB0FB264921,Buick,EncoreLeather
4,,2015,25195,New Orleans, LA,KL4CJASB4FB217542,Buick,EncoreFWD
5,16784,2015,22800,Las Vegas, NV,KL4CJBSB3FB166881,Buick,EncoreConvenience
6,17020,2016,16877,Grand Island, NY,KL4CJASB7GB536760,Buick,EncoreFWD
7,15950,2015,27885,West Covina, CA,KL4CJASB3FB241802,Buick,EncoreFWD
8,17091,2016,24008,Little Rock, AR,KL4CJASBXGB565542,Buick,EncoreFWD
9,16995,,8624,Punta Gorda, FL,KL4CJFSB7FB173565,Buick,EncoreConvenience
10,17700,2015,13807,Jacksonville, NC,KL4CJBSB8FB068543,Buick,EncoreConvenience
11,14555,2014,,Phoenix, AZ,KL4CJASB3EB786106,Buick,EncoreFWD
12,18988,2017,4705,Bowling Green, KY,KL4CJASB7HB035630,Buick,EncoreFWD
13,17491,2016,11123,Memphis, TN,KL4CJASBXGB720588,Buick,EncoreFWD
14,,2015,11330,St. Peters, MO,KL4CJBSB0FB117931,Buick,EncoreConvenience
15,20959,2017,36981,Taylor, MI,1G4PR5SK9H4108021,Buick,VeranoSport
16,16699,,21323,Clearwater, FL,KL4CJASB2FB127080,Buick,EncoreFWD
17,15995,2015,18887,Metairie, LA,KL4CJASB8FB267196,Buick,EncoreFWD
18,17950,2016,10925,Lafayette, IN,KL4CJASB4GB519690,Buick,EncoreFWD
19,15239,2015,20681,Dallas, TX,KL4CJBSB2FB179802,Buick,EncoreConvenience
20,16814,2015,11541,Gainesville, FL,KL4CJASB0FB248111,Buick,EncoreFWD
21,15972,2015,28408,Trevose, PA,KL4CJASB4FB176443,Buick,EncoreFWD
22,17222,2015,10652,Oklahoma City, OK,KL4CJBSB9FB270758,Buick,EncoreConvenience
23,18366,2016,3104,Lakewood, NJ,KL4CJASB3GB650982,Buick,EncoreFWD
24,13488,2014,33215,Fallston, MD,KL4CJASB9EB608748,Buick,EncoreFWD
25,16400,2015,21694,Columbus, OH,KL4CJASB1FB241331,Buick,EncoreFWD
26,18902,2017,5,Dublin, CA,KL4CJASB1HB027202,Buick,EncoreFWD
27,18902,2017,5,Dublin, CA,KL4CJASB5HB028496,Buick,EncoreFWD
28,16476,2015,21962,Flemming, GA,KL4CJBSB4FB231253,Buick,EncoreConvenience
29,16450,2014,12760,Columbus, OH,KL4CJASBXEB752616,Buick,EncoreFWD
30,16000,2015,19446,Monroe, MI,KL4CJBSB2FB036929,Buick,EncoreConvenience
31,16217,2015,23837,Raleigh, NC,KL4CJASB9FB235535,Buick,EncoreFWD
32,16895,2015,21026,Souderton, PA,KL4CJASB9FB190502,Buick,EncoreFWD
33,16900,2015,10369,Mechanicsburg, PA,KL4CJASB9FB270902,Buick,EncoreFWD
34,17500,2015,7166,Williamstown, NJ,KL4CJBSB9FB222354,Buick,EncoreConvenience
35,18988,2017,6111,Bowling Green, KY,KL4CJASB9HB048427,Buick,EncoreFWD
36,15600,2015,33423,Virginia Beach, Va,KL4CJASB4FB178676,Buick,EncoreFWD
37,17591,2015,10014,Tucson, AZ,KL4CJASB3FB117299,Buick,EncoreFWD
38,,2015,20496,McDonough, GA,KL4CJBSB2FB101567,Buick,EncoreConvenience
39,15593,2015,17440,Akron, OH,KL4CJESB7FB267195,Buick,EncoreAWD
40,17900,2017,9850,Doral, FL,KL4CJASB6HB002683,Buick,EncoreFWD
41,17000,2015,13590,Williamstown, NJ,KL4CJBSB0FB195254,Buick,EncoreConvenience
42,15495,2014,24554,Metairie, LA,KL4CJASB6EB551876,Buick,EncoreFWD
43,16988,2016,12510,Naples, FL,KL4CJASB6GB565795,Buick,EncoreFWD
44,15591,2015,29804,Jacksonville, FL,KL4CJASB0FB082415,Buick,EncoreFWD
45,16737,2015,16701,Lutz, Fl,KL4CJASB1FB220883,Buick,EncoreFWD
46,11262,,64997,Pompano Beach, FL,KL4CJASB9DB078277,Buick,EncoreEncore
47,13900,2014,25982,Arcadia, FL,KL4CJBSB6EB587119,Buick,EncoreConvenience
48,16799,2015,16735,Williamstown, NJ,KL4CJASB7FB234884,Buick,EncoreFWD
49,16500,2014,10478,Tampa, FL,KL4CJCSBXEB781688,Buick,EncoreLeather
50,17991,2016,14806,Tucson, AZ,KL4CJASB7GB620898,Buick,EncoreFWD
51,15499,2015,37406,Killeen, TX,KL4CJBSB5FB096686,Buick,EncoreConvenience
52,15725,2015,17005,Englewood, NJ,KL4CJASB4FB271181,Buick,EncoreFWD
53,19663,2016,3064,Wilmington, NC,KL4CJASB5GB647064,Buick,EncoreFWD
54,16445,2015,19469,Grapevine, TX,KL4CJBSBXFB166232,Buick,EncoreConvenience
55,15750,2015,26927,Grapevine, TX,KL4CJBSB6FB162873,Buick,EncoreConvenience
56,16567,2015,6156,Ocala, FL,KL4CJBSB2FB167861,Buick,EncoreConvenience
57,17479,2015,15572,San Diego, CA,KL4CJBSBXFB260336,Buick,EncoreConvenience
58,16344,2016,24241,GILBERT, AZ,KL4CJASB4GB652627,Buick,EncoreFWD
59,20500,2017,2381,Lillington, NC,KL4CJASB3HB073968,Buick,EncoreFWD
60,15795,2014,8886,White Plains, NY,KL4CJASBXEB571547,Buick,EncoreFWD
61,13500,2013,46157,Palm Harbor, FL,KL4CJBSB5DB160948,Buick,EncoreConvenience
62,18991,2017,5395,Charlotte, NC,KL4CJASB6HB002375,Buick,EncoreFWD
63,16984,2015,20433,Lone Tree, CO,KL4CJESB1FB265359,Buick,EncoreAWD
64,,2015,24075,Lillington, NC,KL4CJBSB3FB253521,Buick,EncoreConvenience
65,18676,2016,3448,Lutz, Fl,KL4CJBSB1GB719416,Buick,EncoreConvenience
66,16400,2015,19581,Fairless Hills, PA,KL4CJASB2FB158880,Buick,EncoreFWD
67,16947,2015,19091,Ellicott City, MD,KL4CJASB6FB125820,Buick,EncoreFWD
68,17950,,7895,Fresno, CA,KL4CJASB7FB266072,Buick,EncoreFWD
69,17500,2016,20157,Grapevine, TX,KL4CJBSB7GB529197,Buick,EncoreConvenience
70,14990,2015,33847,Kirkwood, MO,KL4CJASB8FB267554,Buick,EncoreFWD
71,15995,2015,24930,Grand Forks, ND,KL4CJBSB3FB265331,Buick,EncoreConvenience
72,15980,2014,16520,Rainbow City, AL,KL4CJBSB6EB746639,Buick,EncoreConvenience
73,3999,2006,132582,Joliet, IL,5GADX23L16D200063,Buick,Terraza4dr
74,16947,2015,22352,Brockton, MA,KL4CJESB1FB190453,Buick,EncoreAWD
75,17998,2016,11015,Greenville, NC,KL4CJASBXGB545422,Buick,EncoreFWD
76,13590,2014,35725,Plantation, FL,KL4CJASB3EB573589,Buick,EncoreFWD
77,14975,2014,25352,Seattle, WA,KL4CJDSB4EB723159,Buick,EncorePremium
78,15475,2016,40147,New Orleans, LA,KL4CJASB2GB577278,Buick,EncoreFWD
79,14901,2015,51091,Selma, TX,KL4CJBSB3FB254619,Buick,EncoreConvenience
80,17853,2016,13503,Tallahassee, FL,KL4CJASB3GB537873,Buick,EncoreFWD
81,18800,2016,8968,Kenosha, WI,KL4CJASB8GB602927,Buick,EncoreFWD
82,16995,2015,23174,Souderton, PA,KL4CJASB9FB029910,Buick,EncoreFWD
83,17991,2016,10059,Prince Frederick, MD,KL4CJASB5GB693316,Buick,EncoreFWD
